Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 4 lots ayant pour but la fourniture, pendant 60 mois, d'articles de bureau et d'articles de bureau durables, de cartouches d'encre et de toner et d'accessoires d'impression, d'équipements de bureau, et de fournitures scolaires conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier spécial des charges n° CDA/009314/DCH). - Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst en in 4 percelen met het doel de levering, gedurende 60 maanden, van kantoorartikelen en duurzame kantoorartikelen, van inkt- en tonerpatronen en printtoebehoren, van kantooruitrusting en van schoolartikelen afgesloten via een openbare procedure overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/009314/DCH). - Bijkomende bestellingen.;2021-06-24;LYRECO BELGIUM SA - rue du Fond des Fourches 20 - 4041 Vottem;100.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'enlèvement et le traitement, pendant 60 mois, des déchets triés (déchets résiduels, PMC, papier-carton mélangé et verre) pour différents départements de la Ville conclu par adjudication ouverte en application de la loi du 15/06/2006 (cahier spécial des charges n° CDA/008924/BEN). - Extension n°14.;Overheidsopdracht voor diensten tegen prijslijst met het doel het ophalen en verwerken, gedurende 60 maanden, van het gesorteerd afval (restafval, PMD, gemengd papier-karton en glas) voor verscheidene departementen van de Stad afgesloten via open aanbesteding van de wet van 15/06/2006 (bestek nr CDA/008924/BEN). - Uitbreiding nr 14.;2021-01-07;Bruxelles-Propreté, Agence Régionale pour la Propreté - avenue de Broqueville 12 - 1150 Bruxelles;4.227,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but le nettoyage et l'entretien, pendant 18 mois, des locaux et surfaces de la Centrale for contemporary art  conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011836/YOU).;Overheidsopdracht voor diensten met het doel het schoonmaken en onderhouden, gedurende 18 maanden, van de lokalen en oppervlakken van de Centrale for contemporary art afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011836/YOU).;2021-07-15;B.S.C. CLEANING SPRL, rue Venelle Schubert 1 - 1083 Ganshoren;36.753,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;"Marché public de services à bordereau de prix ayant pour but l'organisation, pendant 12 mois, de formation de base ""Agent de gardiennage"" et organisation du test psychotechnique au SELOR conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011874/BEN).";"Overheidsopdracht voor diensten tegen prijslijst met het doel de organisatie, gedurende 12 maanden, van basisopleiding tot  ""Bewakingsagent"" en organisatie van het SELOR psychotechnische onderzoek afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011874/BEN).";2021-07-15;F.A.C.T. TRAINING SPRL - rue de la Station 19 - 1300 Wavre;49.425,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant  pour but la fourniture, pendant 12 mois, d'éléments de protection en élastomère pour les crèches conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010610/CVB). - Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van beschermingselementen voor kinderdagverblijven afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/010610/CVB). - Verlenging.;2021-08-26;JBH INTERNATIONAL SPRL - rue Colonel Bourg 127-129 - 1140 Bruxelles;25.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture de vélos triporteurs électriques pour le département Travaux de Voirie conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011953/LDR). - Attribution avec dépense supplémentaire;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van elektrische bakfietsen voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011953/LDR). - Gunning met bijkomende uitgave;2021-09-09;AVENUE DISTRIBUTION SPRL (BIKE AVENUE) - Chaussée de Charleroi 190 - 1060 Bruxelles;145.590,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix pendant 12 mois et en 2 lots ayant pour but la fourniture de ranges-vélos conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011560/LDR). - Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst gedurende 12 maanden en in 2 percelen met het doel de levering van fietsrekken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011560/LDR). - Bijkomende bestellingen.;2021-09-09;BELURBA BVBA - Heikant 5 - 3930 Hamont-Achel;1.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture de supports pour sacs poubelles et de sacs poubelles pour le département Culture, Jeunesse, Loisirs et Sports conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/012001/PTL).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van vuilniszakkenhouders en vuilniszakken voor het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/012001/PTL).;2021-09-09;BOMA NV - Iperiastraat 6 - 1930 Zaventem;43.219,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible et à bordereau de prix ayant pour but l'achat de pièces d'origine et la réalisation de réparations, pendant 12 mois, des grues de la marque PALFINGER du département Travaux de Voirie conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er - 1° d-ii, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010717/BEN).- Reconduction;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de verwezenlijking van herstellingen, gedurende 12 maanden, van de kranen van het merk PALFINGER van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1° d-ii van de wet van 17/06/2016 (bestek nr CDA/010717/BEN).- Verlenging;2021-09-23;WTS-HYDRAULICS NV - Glasstraat 31 - 2170 Antwerpen;40.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible ayant pour but l'abonnement, pendant 12 mois, à un logiciel de gestion des vacances sportives conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011617/MGG). - Reconduction;Verlengbare overheidsopdracht voor diensten met het doel het abonnement, gedurende 12 maanden, op software voor het beheer van de sportive vakanties afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011617/MGG). Verlenging;2021-09-23;IXPERTISE DEVELOPMENT - rue du Vignoble 49 - 1190 Forest;2.904,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible et à bordereau de prix et en 2 lots ayant pour but la fourniture, pendant 12 mois, de matériel et de consommables d'éclairage conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011353/MPG).- Reconduction;Verlengbare overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering, gedurende 12 maanden, verlichtingstoestellen en verbruiksgoederen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016  (bestek nr CDA/011353/MPG).- Verlenging;2021-09-23;TRILEC SA - rue de la Grenouillette 2B - 1130 Bruxelles;80.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible et à bordereau de prix ayant pour but l'organisation, pendant 24 mois, de formations et de séances d'intervision pour les directions d'établissements scolaires francophones de la Ville de Bruxelles conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011827/BEN).;Verlengbare overheidsopdracht voor diensten tegen prijslijst met het doel de organisatie, gedurende 24 maanden, van vormingen en intervisiesessies voor directies van de Franstalige scholen van de Stad Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011827/BEN).;2021-09-30;FERRER FORMATIONS ASBL - rue de la Fontaine 4 - 1000 Bruxelles;28.480,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public reconductible de fournitures à bordereau de prix et en 10 lots ayant pour but la fourniture, pendant 12 mois, de consommables techniques périssables paramédicaux pour la Haute Ecole Francisco Ferrer du département Instruction Publique conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011334/LDR).- Commandes supplémentaires;"Verlengbare overheidsopdracht voor leveringen tegen prijslijst en in 10 percelen met het doel de levering, gedurende 12 maanden, van vergankelijke paramedische technische verbruiksartikelen voor de ""Haute Ecole Francisco Ferrer"" van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011334/LDR).- Bijkomende bestellingen";2021-07-10;"THERMO FISHER DIAGNOSTICS NV 
(Lot 4 : 5.000 €)                                     
STAGO BNL BV SE 
(Lot 5 : 760 €) INTERNATIONAL MEDICAL PRODUCTS SA 
(Lot 6 : 5.000 €) 
BIOMERIEUX BENELUX SA   
(Lot 8 : 10.000 €)";20.760,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible et à bordereau de prix ayant pour but l'entretien, jusqu'au 31/12/2021, des espaces verts de la Ville de Bruxelles conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011747/MGG).- Reconduction;Verlengbare overheidsopdracht voor diensten tegen prijslijst met het doel het onderhoud, tot 31/12/2021, van de groene ruimten van de Stad Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011747/MGG).- Verlenging;2021-07-10;TRADURA - rue de la Vignette 187 - 1160 Auderghem;38.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de publications périodiques pour différents établissements scolaires conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er - 1° d-iii, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/012127/DSP).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van tijdschriften bestemd voor de verschillende scholen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1° d-iii van de wet van 17/06/2016 (bestek nr CDA/012127/DSP).;2021-07-10;PARTNER PRESS CORPORATE - route de Lennik 451 - 1070 Bruxelles;150.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le placement, l'enlèvement et la vidange de conteneurs pour les campagnes à encombrants en 2022 conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011876/MGG).- Attribution avec dépenses supplémentaires.;Overheidsopdracht voor diensten tegen prijslijst met het doel het plaatsen, ophalen en ledigen van containers voor de groot vuil campagnes in 2022 afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016  (bestek nr CDA/011876/MGG). -  Gunning met bijkomende uitgave.;2021-10-29;G & A DE MEUTER NV - Preflexbaan 250 - 1740 TERNAT;162.442,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et l'exécution des réparations, pendant 48 mois, des machines des marques STIHL et TORO conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/012041/CIA).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en het uitvoeren van herstellingen, gedurende 48 maanden, van de machines van de merken STIHL en TORO afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/012041/CIA).;2021-10-29;VANIE BVBA - Vilvoordsesteenweg 172 - 1860 Meise;32.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 7 lots ayant pour but la fourniture, pendant 24 mois, d'outillage à main non électrique et pneumatique et ses accessoires conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011634/PTL).- Commandes supplémentaires;Overheidsopdracht voor leveringen tegen prijslijst en in 7 percelen met het doel de levering, gedurende 24 maanden, van niet-elektrisch en pneumatisch handgereedschap en zijn toebehoren afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011634/PTL). - Bijkomende bestellingen;2021-10-11;DEGECO SA - avenue de l'Optimisme 15 - 1140 Bruxelles;10.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de clous, vis, boulons, écrous et autres pour différents départements conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/009901/PAD). Reconduction;Verlenbgbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van nagels, schroeven, bouten, moeren en andere voor verschillende departementen afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/009901/PAD). Verlenging;2021-10-11;CLABOTS TOOLS SA - quai des Usines 5 - 1000 Bruxelles;9.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et l'exécution de réparations, pendant 48 mois, des hayons de la marque D'HOLLANDIA conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011912/BEN);Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en het uitvoeren van herstellingen, gedurende 48 maanden, van de laadkleppen van het merk D'HOLLANDIA afgesloten via beperkte waarde van de wet van 17/06/2016  (bestek nr CDA/011912/BEN);2021-10-11;CARROSSERIE DE BRUECKER NV, Joseph Cardijnstraat 6 - 9420 Erpe-Mere;24.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but l'achat de pièces d'origine et l'exécution de réparations, pendant 48 mois, des véhicules de la marque MAN conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011911/BEN);Overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en het uitvoeren van herstellingen, gedurende 48 maanden, van de voertuigen van het merk MAN afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011911/BEN);2021-10-11;MAN TRUCK EN BUS NV - Brusselsesteenweg 406 - 1730 Asse (Kobbegem);16.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
